,amenities,usableAreas,description,title,unitTypes,parkingSpaces,suites,bathrooms,usageTypes,bedrooms,neighborhood,lat,lon,condoFee,rentPrice,iptu
0,"['ELEVATOR', 'GATED_COMMUNITY', 'GARDEN', 'PLAYGROUND', 'PARTY_HALL', 'CONCIERGE_24H', 'ELECTRONIC_GATE']",70.0,"IMÓVEL IMPECÁVEL! L I N D A V I S T A M A R! <br><br>Área aproximada 70,00 m²;<br>01 Suítes (Vista Mar, Armários Projetados Fixos, Banheiro Box Vidro);<br>01 Dormitório (Vista Mar, Armários Projetados Fixos, Banheiro Box Vidro);<br>01 Sala de Estar / Jantar (Vista Mar);<br>01 Cozinha (Armários Projetados Fixos);<br>02 Vagas de Garagens (COBERTAS) Obs.: Bem ESPAÇOSA;<br><br>Condomínio incluso (Gás);",Apartamento para aluguel tem 70 metros quadrados com 2 quartos em Meireles - Fortaleza - Ceará,APARTMENT,2.0,2.0,2.0,RESIDENTIAL,2.0,Meireles,-3.72788,-38.495875,730,2700,110
1,"['FURNISHED', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY', 'AIR_CONDITIONING', 'PARTY_HALL', 'CONCIERGE_24H', 'AMERICAN_KITCHEN', 'ELECTRONIC_GATE']",60.0,"Apartamento Duplex 60 m2, com 02 suítes, totalmente mobiliado, com 01 vaga de garagem, em ótima localização(Meirelles). Com ar- condicionado nos quartos, andar alto, vista lateral mar, posição sol da manhã.<br>Pacote ALUGUEL/CONDOMÍNIO/IPTU: R$ 3.500,00<br>Já incluso no condomínio: água e gás.","Apartamento DUPLEX MOBILIADO, 02 suítes, em Meireles - Fortaleza - Ceará",APARTMENT,1.0,2.0,2.0,RESIDENTIAL,2.0,Meireles,-3.727192,-38.490351,800,2500,200
2,"['AIR_CONDITIONING', 'PORCELAIN']",35.0,"ANDAR ALTO;<br>PISO EM PORCELANATO;<br>ILUMINAÇÃO EM LED;<br>TETO EM GESSO;<br>02 ARES CONDICIONADOS 18.000 BTU instalados;<br>01 VIDEO PORTEIRO; <br><br>LOCALIZAÇÃO ESPETACULAR!!!<br><br>Complexo Pátio Dom Luis, é um empreendimento completo. Além de um Centro comercial com espaço para 82 lojas, o complexo possui duas torres comerciais com 759 salas e duas torres residenciais com 92 apartamentos localizados na área mais nobre de Fortaleza.","Sala comercial, localização INENARRÁVEL / para aluguel tem 35m em Meireles - Fortaleza - Ceará",OFFICE,0.0,0.0,0.0,COMMERCIAL,0.0,Meireles,-3.736109,-38.490084,575,2500,330
3,[],33.0,"Salas com piso em porcelanato bianco, com forro de gesso e iluminação prontos, no empreendimento mais lindo e moderno da Av Santos Dumont, bem no coração da Aldeota!<br>⠀<br>• 28 salas por andar;<br>• Heliponto;<br>• Elevadores inteligentes: 15 (sendo 01 panorâmico);<br>• Sistema de segurança eletrônico com equipamentos: alarme, câmeras digitais e sistema de gravação em HD;<br>• Academia;<br>• Auditório equipado;<br>• 8 pavimentos de garagem com estacionamento para quase mil veículos.",Scopa Platinum Corporate - Salas amplas com WC,OFFICE,1.0,0.0,0.0,COMMERCIAL,0.0,Aldeota,-3.733264,-38.50933,428,1750,1143
4,[],30.0,"COMPSA – COMPARTILHAMENTO DE SALAS: <br>I. MOBILIADAS OU A MOBILIAR <br>II. CUSTO ORÇAMENTADO POR HORA, EXPEDIENTES OU INTEGRAL <br>III. DESTINADO A PROFISSIONAIS LIBERAIS: ÁREA DE SAÚDE; ARQUITETO; ADVOGADOS; EMGENHEIROS; ADMINISTRADORES; CONTABILISTA ETC.<br>IV. OPÇÃO DE SERVIÇOS DE RECEPÇÃO E/OU BUROCRÁTICOS<br><br>Estrutura Física<br>1- Rampas de acesso, recepção corredores, portas e banheiros adaptados e plataforma de acessibilidade em atenção às pessoas com dificuldade de locomoção<br>2- 10 Salas com tamanhos entre 13 e 22m<br>3- 01 sala com banheiro privativo<br>4- 02 banheiros acessíveis na recepção, o feminino adaptado para crianças<br>5- 02 banheiros para profissionais e funcionários, um com área de banho<br>6- Cozinha: micro-ondas, cafeteira etc <br>7- Área de acolhimento infantil na recepção<br>8- Vagas de estacionamento na frente e lateral não privativas<br>9- Estacionamento comercial na frente da clínica<br><br>SALAS MOBILIADAS<br>O que está incluso no aluguel das salas mobiliadas:<br>1. Sala mobiliada com mobiliário novo, primeiro uso, com manutenção<br>2. Gaveta individualizada para material dos profissionais<br>3. Ar condicionado<br>4. Material básico de higiene nas salas: Papel toalha, Sabonete líquido e álcool gel<br>5. Energia<br>6. Luz<br>7. IPTU<br>8. Internet wireless nas salas e recepção, para profissionais e clientes<br>9. Limpeza diária<br><br>O que é opcional:<br>1. Trabalho de recepcionista, com agendamentos.<br>2. Impressora nas salas<br>3. Lençol rolo<br>4. Batas e/ou shorts descartáveis para área de saúde. <br>5. Disponibilidade de serviços complementares burocráticos a combinar<br><br> 1- Salas não mobiliadas<br>a. Tipo 1 <br>b. Tipos 2 e 3 <br>b. Com atendente e sem atendente<br>c. Valor a negociar<br> <br><br> Salas Mobiliadas <br>Tipo 1 <br>i. $30,00 a hora ou fração; <br>ii. Expediente manhã - Valor mensal<br> 01 expediente semanal = $470,00 por expediente; 02 expedientes semanais = $450,00 por expediente . A partir de 03 expedientes semanais – $430,00 por expediente<br>iii. Expediente Tarde - Valor mensal <br> 01 expediente semanal = $520,00 por expediente. 02 expedientes = $500 por expediente. A partir de 03 expedientes semanais - $480,00 por expediente<br>Tipo 2 <br>i. $40,00 a hora ou fração; <br>ii. Expediente manhã <br> 01 expediente semanal = $520,00 por expediente . 02 expedientes = $500,00 por expediente. A partir de 03 – $480,00 por expediente<br>iii. Expediente Tarde – 01 expediente semanal = $570,00 por expediente. 02 expedientes = $550 por expediente. A partir de 03 - $530,00 por expediente","COMPSA - Compartilhamento de Salas - Hora, Expediente ou Integral",OFFICE,0.0,0.0,0.0,COMMERCIAL,0.0,Aldeota,-3.743591,-38.493051,0,500,0
5,['AIR_CONDITIONING'],15.0,"Alugamos salas de psicologia, psiquiatria e para demais profissionais da saúde (além de psicólogos, nutricionistas, terapeutas ocupacionais, etc) em excelente localização no BAIRRO DE FÁTIMA! <br><br>Clínica Halasana – <br>Muito conhecida e indicada no meio psi. Excelente tanto para profissionais experientes quanto para os que estão iniciando. <br>Realizamos indicações de pacientes de forma equitativa. <br>Planos de saúde: Cassi, cafaz e saúde caixa. <br><br>O aluguel contempla: Limpeza diária das salas, energia, água, wi-fi e todo o serviço de recepção. Não se preocupe com nada, apenas com atender. <br><br>Calção de apenas um mês, não é necessário fiador. <br><br>Super fácil de estacionar. <br><br>Turno de R$110,00 a R$250,00 já com condomínio incluso.<br>.<br>.<br>Whatsapp: <br>Fixo:",Sala/Conjunto para aluguel com 15 metros quadrados em José Bonifácio - Fortaleza - Ceará,OFFICE,0.0,0.0,0.0,COMMERCIAL,0.0,José Bonifácio,-3.743001,-38.528323,0,110,0
6,"['POOL', 'FURNISHED', 'ELEVATOR', 'GATED_COMMUNITY', 'GYM', 'PETS_ALLOWED', 'AIR_CONDITIONING', 'CONCIERGE_24H', 'CLOSET', 'GAMES_ROOM']",70.0,"Locação a partir de Setembro...<br>O nosso apartamento e mobiliados e equipados com ar condicionado, closet, TV com canais a cabo, Wi-Fi free, cozinha com utensílios, fogão, geladeira, microondas e estacionamento, piscina ao ar livre, academia, parquinho, sala de jogos, restaurante segurança 24h. Com supermercado, farmácias, ponto de ônibus vários restaurantes e bares no entorno.",Locação a partir de Setembro Apartamento de 2 quartos em Meireles - Fortaleza - Ceará,APARTMENT,1.0,1.0,1.0,RESIDENTIAL,2.0,Meireles,-3.721501,-38.50998,488,2400,90
7,"['SECURITY_CAMERA', 'GUEST_PARKING', 'PATROL', 'WATCHMAN', 'PORCELAIN']",20.0,"SALAS NO SHOPPING MARAPONGA MART MODA EXPANSÃO<br><br>-SALAS INDIVIDUAIS (a partir de R$ 900,00)<br><br>Obs: valores já incluso Condomínio e Água.",Sala comercial para aluguel em Maraponga - Fortaleza,OFFICE,0.0,0.0,0.0,COMMERCIAL,0.0,Maraponga,-3.797153,-38.56412,0,900,0
8,"['POOL', 'FURNISHED', 'ELEVATOR', 'GATED_COMMUNITY', 'GYM', 'AIR_CONDITIONING', 'CONCIERGE_24H', 'AMERICAN_KITCHEN', 'SAUNA', 'DISABLED_ACCESS', 'ELECTRONIC_GATE']",35.0,"Localizado na Avenida Beira Mar, 3470 - Bairro Meireles - Fortaleza- CE , em frente a orla.<br><br>Com lindos móveis, cozinha totalmente equipada e Smart TV são apenas algumas das comodidades que você vai encontrar no interior deste apartamento. Quando estiver pronto para relaxar, você vai ficar feliz em descobrir que cada quarto vem com<br>colchões de qualidade superior. Nós cuidamos de tudo para que você possa simplesmente desfrutar sua estadia e se sentir em casa<br>More em um Blue Home da Blue Tree Hotels<br>Para sua maior comodidade possuímos os seguintes serviços para contratação em caso de necessidade (Café da manhã R$ 28,00 por pessoa, kit amenities R$ 10,00 . kit enxoval R$ 65,00, kit louças R$ 65,00).<br><br>Contato via whatsapp ou pelo telefone : ( esse número também é whats app )",Blue Home by Blue Tree na melhor localização de Fortaleza,APARTMENT,1.0,0.0,0.0,RESIDENTIAL,1.0,Mucuripe,-3.724583,-38.490135,1747,4428,225
9,[],33.0,"Conjunto de salas com tamanhos e layout diferenciados. Ultima sala para aluguel na Aldeota e serviços de sala mobiliada com a comodidade de um coworking. Inclusos para ambientes de trabalho mobiliados com projeto arquitetonico, atendimento exclusivo, infra estrutura de internet toda americana com 3 links de internet de empresas diferentes, localização de prestígio na Aldeota, escritórios completos com cadeiras confortáveis, mesas espaçosas e toda uma infraestrutura de escritório para que você trabalhe com muito conforto e praticidade.<br><br>Nossa estrutura conta com diversas salas privativas e espaços de trabalho - tudo isso forma um ambiente propício para networking!<br><br>Somando a essas vantagens, alugando uma sala conosco você não precisará se preocupar com a burocracia de contratos com imobiliária, neste valor esta incluso energia, aluguel, condomínio e IPTU..<br><br>Nós sabemos que tudo isso acarreta em uma grande burocracia e alto custo para a sua empresa. Por isso, com o Go! Offices você não precisará se preocupar com nada disso!<br><br>Além dessa facilidade, você estará em uma estrutura totalmente tranquila e segura, contando com portaria e segurança 24 horas.<br><br>Para completar, tornando-se um cliente do Go! Offices, você também terá acesso aos serviços de:<br><br>- Serviço de Recepção e Apoio Administrativo;<br>- Endereço Comercial;<br>- Endereço Fiscal;<br>- Serviço de Limpeza e Manutenção;<br>- Eventos de Network;<br>- Recebimento de Mercadorias e Documentos;<br><br>E alugando esta nossa sala até dia , você receberá três super benefícios:<br><br>- 3 Horas na Sala de Reunião;<br>- 50% de Desconto na Sala de Reunião;<br>- 50 Impressões Preto e Branco;<br><br>Entre em contato através do nosso chat para saber mais informações!<br>Preços a partir de R$1.590",Ambientes de trabalho mobiliados comerciais exclusivos para locação com tudo incluso na Aldeota,OFFICE,0.0,0.0,0.0,COMMERCIAL,0.0,Aldeota,-3.735177,-38.506569,0,5100,0
