,amenities,usableAreas,description,title,unitTypes,parkingSpaces,suites,bathrooms,usageTypes,bedrooms,neighborhood,lat,lon,condoFee,rentPrice,iptu
0,"['ELEVATOR', 'GATED_COMMUNITY', 'GARDEN', 'PLAYGROUND', 'PARTY_HALL', 'CONCIERGE_24H', 'ELECTRONIC_GATE']",70.0,"IMÓVEL IMPECÁVEL! L I N D A V I S T A M A R! <br><br>Área aproximada 70,00 m²;<br>01 Suítes (Vista Mar, Armários Projetados Fixos, Banheiro Box Vidro);<br>01 Dormitório (Vista Mar, Armários Projetados Fixos, Banheiro Box Vidro);<br>01 Sala de Estar / Jantar (Vista Mar);<br>01 Cozinha (Armários Projetados Fixos);<br>02 Vagas de Garagens (COBERTAS) Obs.: Bem ESPAÇOSA;<br><br>Condomínio incluso (Gás);",Apartamento para aluguel tem 70 metros quadrados com 2 quartos em Meireles - Fortaleza - Ceará,APARTMENT,2.0,2.0,2.0,RESIDENTIAL,2.0,Meireles,-3.72788,-38.495875,730,2700,110
1,"['FURNISHED', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY', 'AIR_CONDITIONING', 'PARTY_HALL', 'CONCIERGE_24H', 'AMERICAN_KITCHEN', 'ELECTRONIC_GATE']",60.0,"Apartamento Duplex 60 m2, com 02 suítes, totalmente mobiliado, com 01 vaga de garagem, em ótima localização(Meirelles). Com ar- condicionado nos quartos, andar alto, vista lateral mar, posição sol da manhã.<br>Pacote ALUGUEL/CONDOMÍNIO/IPTU: R$ 3.500,00<br>Já incluso no condomínio: água e gás.","Apartamento DUPLEX MOBILIADO, 02 suítes, em Meireles - Fortaleza - Ceará",APARTMENT,1.0,2.0,2.0,RESIDENTIAL,2.0,Meireles,-3.727192,-38.490351,800,2500,200
6,"['POOL', 'FURNISHED', 'ELEVATOR', 'GATED_COMMUNITY', 'GYM', 'PETS_ALLOWED', 'AIR_CONDITIONING', 'CONCIERGE_24H', 'CLOSET', 'GAMES_ROOM']",70.0,"Locação a partir de Setembro...<br>O nosso apartamento e mobiliados e equipados com ar condicionado, closet, TV com canais a cabo, Wi-Fi free, cozinha com utensílios, fogão, geladeira, microondas e estacionamento, piscina ao ar livre, academia, parquinho, sala de jogos, restaurante segurança 24h. Com supermercado, farmácias, ponto de ônibus vários restaurantes e bares no entorno.",Locação a partir de Setembro Apartamento de 2 quartos em Meireles - Fortaleza - Ceará,APARTMENT,1.0,1.0,1.0,RESIDENTIAL,2.0,Meireles,-3.721501,-38.50998,488,2400,90
8,"['POOL', 'FURNISHED', 'ELEVATOR', 'GATED_COMMUNITY', 'GYM', 'AIR_CONDITIONING', 'CONCIERGE_24H', 'AMERICAN_KITCHEN', 'SAUNA', 'DISABLED_ACCESS', 'ELECTRONIC_GATE']",35.0,"Localizado na Avenida Beira Mar, 3470 - Bairro Meireles - Fortaleza- CE , em frente a orla.<br><br>Com lindos móveis, cozinha totalmente equipada e Smart TV são apenas algumas das comodidades que você vai encontrar no interior deste apartamento. Quando estiver pronto para relaxar, você vai ficar feliz em descobrir que cada quarto vem com<br>colchões de qualidade superior. Nós cuidamos de tudo para que você possa simplesmente desfrutar sua estadia e se sentir em casa<br>More em um Blue Home da Blue Tree Hotels<br>Para sua maior comodidade possuímos os seguintes serviços para contratação em caso de necessidade (Café da manhã R$ 28,00 por pessoa, kit amenities R$ 10,00 . kit enxoval R$ 65,00, kit louças R$ 65,00).<br><br>Contato via whatsapp ou pelo telefone : ( esse número também é whats app )",Blue Home by Blue Tree na melhor localização de Fortaleza,APARTMENT,1.0,0.0,0.0,RESIDENTIAL,1.0,Mucuripe,-3.724583,-38.490135,1747,4428,225
10,[],42.0,"Excelente Flat no melhor ponto da Beira Mar de Fortaleza, dentro do hotel Blue Tree Towers",Flat para aluguel possui 42 metros quadrados com 1 quarto em Mucuripe - Fortaleza - Ceará,FLAT,1.0,1.0,1.0,RESIDENTIAL,1.0,Mucuripe,-3.724583,-38.490135,1200,2000,0
11,[],45.0,"Características mais importantes para as pesssoas hoje darem preferência para alugar um imóvel:<br><br>* Custo X benefício:<br>Quanto vc vai pagar e o que vc vai receber pelo que vc esta pagando.<br><br>* Localizacão:<br>Se vc tem acesso fácil supermercados, restaurantes, pizzaria com comida boa e barata, farmácias, centro da cidade, shoppings, beira mar, condução(ônibus), se tem tudo pertinho...<br><br>* Segurança<br><br>* Tranquilidade pra descansar e estudar.<br><br>* Se tem área de serviço(máquina de lavar roupas) e cozinha completa privativa dentro do seu apartamento.<br><br>* Ventilação, Sombra, Vista com lindo pôr do sol...<br><br>* Estacionamento pra carros e motos, se tem onde estacionar...<br><br>* Se é sem burocracias(aqui não obriga tempo de permanência, não perde caução, caução é apenas 400 reais).<br><br>* Se o imóvel é mobiliádo e as manutenções das mobílias é por conta do proprietário.<br><br>Nosso imóvel agrega tudo isso acima...por isso q as pessoas nos dam preferência...",Flat para aluguel possui 45 metros quadrados com 7 quartos em Aldeota - Fortaleza - Ceará,FLAT,36.0,36.0,36.0,RESIDENTIAL,5.0,Aldeota,-3.737047,-38.515952,0,1300,0
12,[],42.0,"R$1.500,00. ALUGO POR NO MÍNIMO 3 MESES. FLAT NA BEIRA MAR VIZINHO AO HOTEL GRAN MARQUISE. 42 M2. R$ 1.500,00. Condomínio R$ 1.100,00","R$ 1.500,00 FLAT NA BEIRA MAR, VIZINHO AO HOTEL GRAN MARQUISE. ALUGO POR NO MÍNIMO 3 MESES",FLAT,1.0,1.0,1.0,RESIDENTIAL,1.0,Mucuripe,-3.723675,-38.485608,1084,1500,0
13,['AMERICAN_KITCHEN'],70.0,"Imóvel com excelente localização próximo a farmácias, supermercados, posto de saúde, padarias, frigorífico, shopping via sul, igrejas, bancos e etc.",Apartamento de 70 metros quadrados no bairro Sapiranga com 2 quartos,APARTMENT,0.0,0.0,0.0,RESIDENTIAL,2.0,Sapiranga,-3.7304512,-38.5217989,40,730,16
14,['SERVICE_AREA'],52.0,"SALA , COZINHA, WC SOCIAL, 02 QUARTOS, ÁREA DE SERVIÇO, GARAGEM.<br><br>Ponto de Referência: Maternidade escola, Banco do Brasil<br><br>03 MESES DE CAUÇÃO OU FIADOR COM IMÓVEL PRÓPRIO","( Cod: 872 ) Rua Monsenhor Furtado, 1555, Cs. 05 , R.Teófilo",APARTMENT,1.0,0.0,0.0,RESIDENTIAL,2.0,Rodolfo Teófilo,-3.750654,-38.553274,0,750,0
15,['SERVICE_AREA'],78.0,"Bairro: Papicu<br><br>Ponto de Referência: Laboratório Clementino Fraga; Super Mercado São Luiz.<br><br>Descrição:<br><br>SALA DE VISITAS<br>COZINHA<br>02 QUARTOS SOCIAIS<br>01 SUÍTE<br>01 DEPENDÊNCIA<br>WC SOCIAL<br>GARAGEM<br>03 CAUÇÕES OU FIADOR.<br><br>*VALOR PARA VENDA R$ 400.000,00<br><br>(85) 3231.6101 / / /","( Cód: J-112) Rua José Carlos Gurgel, 210, Ap. 402 ? Papicu",APARTMENT,1.0,0.0,0.0,RESIDENTIAL,3.0,Vicente Pinzon,-3.7304512,-38.5217989,800,600,0
